City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jieshi,22.8134,115.8257,20.1,87,100,1.98,CN,1680278988
1,hamilton,39.1834,-84.5333,12.26,93,100,5.66,US,1680278731
2,vaini,-21.2,-175.2,23.09,100,20,2.57,TO,1680278989
3,bombay,19.0144,72.8479,27.99,65,20,2.57,IN,1680278716
4,doha,25.2867,51.5333,25.99,37,0,3.6,QA,1680278838
5,mar del plata,-38.0023,-57.5575,17.01,57,40,11.83,AR,1680278990
6,bluff,-46.6,168.3333,9.34,93,96,3.15,NZ,1680278991
7,baiyin,36.5583,104.2081,11.69,26,1,2.4,CN,1680278991
8,severo-kurilsk,50.6789,156.125,-0.37,74,2,3.07,RU,1680278992
9,grindavik,63.8424,-22.4338,6.26,100,100,1.54,IS,1680278992
10,dikson,73.5069,80.5464,-13.4,93,100,11.23,RU,1680278992
11,champerico,14.3,-91.9167,32.3,59,0,2.45,GT,1680278993
12,qaanaaq,77.484,-69.3632,-22.78,73,21,1.56,GL,1680278993
13,mataura,-46.1927,168.8643,6.87,97,97,1.24,NZ,1680278994
14,kununurra,-15.7667,128.7333,24.99,83,100,0.0,AU,1680278994
15,umm kaddadah,13.6017,26.6876,28.98,8,37,7.6,SD,1680278995
16,torbay,47.6666,-52.7314,2.31,80,40,4.12,CA,1680278753
17,lompoc,34.6391,-120.4579,12.66,82,20,2.24,US,1680278995
18,gorontalo,0.5412,123.0595,24.6,97,100,0.42,ID,1680278996
19,tiksi,71.6872,128.8694,-31.06,99,47,3.44,RU,1680278996
20,samarai,-10.6167,150.6667,25.82,89,100,1.09,PG,1680278997
21,ushuaia,-54.8,-68.3,8.81,61,20,1.54,AR,1680278997
22,busselton,-33.65,115.3333,17.81,65,96,6.75,AU,1680278998
23,port augusta,-32.5,137.7667,16.63,70,0,5.58,AU,1680278998
24,olafsvik,64.8945,-23.7142,4.57,95,100,2.61,IS,1680278999
25,hannibal,39.7084,-91.3585,21.51,64,40,6.69,US,1680278735
26,mahebourg,-20.4081,57.7,27.36,88,6,3.41,MU,1680278999
27,banda aceh,5.5577,95.3222,26.82,79,98,3.49,ID,1680279000
28,rikitea,-23.1203,-134.9692,25.93,77,80,3.12,PF,1680279001
29,zaysan,47.4667,84.8667,-4.78,53,96,6.26,KZ,1680279001
30,college,64.8569,-147.8028,-10.01,73,75,0.0,US,1680279002
31,bubaque,11.2833,-15.8333,25.8,71,1,4.41,GW,1680279003
32,nogliki,51.8333,143.1667,-1.57,99,100,1.27,RU,1680279003
33,bethel,41.3712,-73.414,9.75,51,75,4.12,US,1680279003
34,xining,36.6167,101.7667,8.34,30,29,0.77,CN,1680279004
35,los llanos de aridane,28.6585,-17.9182,25.86,32,0,6.17,ES,1680279004
36,castro,-24.7911,-50.0119,24.8,62,4,3.68,BR,1680279005
37,bambous virieux,-20.3428,57.7575,27.34,83,9,5.27,MU,1680279005
38,tuktoyaktuk,69.4541,-133.0374,-24.11,94,6,5.42,CA,1680279006
